,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Title,Embarked_C,Embarked_Q,Embarked_S
0,0,3,1,22.0,1,0,521171,7.25,2,False,False,True
1,1,1,0,38.0,1,0,17599,71.2833,3,True,False,False
2,1,3,0,26.0,0,0,23101282,7.925,1,False,False,True
3,1,1,0,35.0,1,0,113803,53.1,3,False,False,True
4,0,3,1,35.0,0,0,373450,8.05,2,False,False,True
5,0,3,1,28.0,0,0,330877,8.4583,2,False,True,False
6,0,1,1,54.0,0,0,17463,51.8625,2,False,False,True
7,0,3,1,2.0,3,1,349909,21.075,0,False,False,True
8,1,3,0,27.0,0,2,347742,11.1333,3,False,False,True
9,1,2,0,14.0,1,0,237736,30.0708,3,True,False,False
10,1,3,0,4.0,1,1,9549,16.7,1,False,False,True
11,1,1,0,58.0,0,0,113783,26.55,1,False,False,True
12,0,3,1,20.0,0,0,52151,8.05,2,False,False,True
13,0,3,1,39.0,1,5,347082,31.275,2,False,False,True
14,0,3,0,14.0,0,0,350406,7.8542,1,False,False,True
15,1,2,0,55.0,0,0,248706,16.0,3,False,False,True
16,0,3,1,2.0,4,1,382652,29.125,0,False,True,False
17,1,2,1,28.0,0,0,244373,13.0,2,False,False,True
18,0,3,0,31.0,1,0,345763,18.0,3,False,False,True
19,1,3,0,28.0,0,0,2649,7.225,3,True,False,False
20,0,2,1,35.0,0,0,239865,26.0,2,False,False,True
21,1,2,1,34.0,0,0,248698,13.0,2,False,False,True
22,1,3,0,15.0,0,0,330923,8.0292,1,False,True,False
23,1,1,1,28.0,0,0,113788,35.5,2,False,False,True
24,0,3,0,8.0,3,1,349909,21.075,1,False,False,True
25,1,3,0,38.0,1,5,347077,31.3875,3,False,False,True
26,0,3,1,28.0,0,0,2631,7.225,2,True,False,False
27,0,1,1,19.0,3,2,19950,263.0,2,False,False,True
28,1,3,0,28.0,0,0,330959,7.8792,1,False,True,False
29,0,3,1,28.0,0,0,349216,7.8958,2,False,False,True
30,0,1,1,40.0,0,0,17601,27.7208,5,True,False,False
31,1,1,0,28.0,1,0,17569,146.5208,3,True,False,False
32,1,3,0,28.0,0,0,335677,7.75,1,False,True,False
33,0,2,1,66.0,0,0,24579,10.5,2,False,False,True
34,0,1,1,28.0,1,0,17604,82.1708,2,True,False,False
35,0,1,1,42.0,1,0,113789,52.0,2,False,False,True
36,1,3,1,28.0,0,0,2677,7.2292,2,True,False,False
37,0,3,1,21.0,0,0,52152,8.05,2,False,False,True
38,0,3,0,18.0,2,0,345764,18.0,1,False,False,True
39,1,3,0,14.0,1,0,2651,11.2417,1,True,False,False
40,0,3,0,40.0,1,0,7546,9.475,3,False,False,True
41,0,2,0,27.0,1,0,11668,21.0,3,False,False,True
42,0,3,1,28.0,0,0,349253,7.8958,2,True,False,False
43,1,2,0,3.0,1,2,2123,41.5792,1,True,False,False
44,1,3,0,19.0,0,0,330958,7.8792,1,False,True,False
45,0,3,1,28.0,0,0,423567,8.05,2,False,False,True
46,0,3,1,28.0,1,0,370371,15.5,2,False,True,False
47,1,3,0,28.0,0,0,14311,7.75,1,False,True,False
48,0,3,1,28.0,2,0,2662,21.6792,2,True,False,False
49,0,3,0,18.0,1,0,349237,17.8,3,False,False,True
50,0,3,1,7.0,4,1,3101295,39.6875,0,False,False,True
51,0,3,1,21.0,0,0,439886,7.8,2,False,False,True
